Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0037874	0.06	0.25	0.10	0.11	0.04	0.49	0.16	0.12	0.49	0.45	0.66	0.54
FBgn0022160	-0.30	0.00	-0.28	0.00	0.02	0.80	-0.58	0.00	0.00	0.02	0.89	0.00
FBgn0014396	0.21	0.01	0.43	0.00	0.23	0.01	0.64	0.00	0.09	0.00	0.03	0.00
FBgn0034967	0.00	0.94	-0.03	0.68	-0.03	0.58	-0.02	0.83	0.97	0.88	0.72	0.98
FBgn0046294	0.15	0.02	-0.16	0.02	-0.31	0.00	-0.02	0.89	0.10	0.21	0.00	0.99
FBgn0259176	0.04	0.58	0.04	0.59	0.00	0.94	0.08	0.54	0.77	0.83	0.97	0.92
FBgn0032518	0.02	0.79	0.07	0.32	0.05	0.38	0.08	0.46	0.90	0.67	0.55	0.88
FBgn0034374	0.11	0.10	-0.06	0.42	-0.17	0.01	0.05	0.71	0.29	0.74	0.04	0.96
FBgn0053519	-0.48	0.00	-0.16	0.18	0.31	0.00	-0.64	0.00	0.00	0.54	0.02	0.03
FBgn0035240	0.08	0.16	-0.12	0.08	-0.20	0.00	-0.04	0.75	0.38	0.39	0.01	0.96
FBgn0002626	0.13	0.03	0.10	0.16	-0.03	0.60	0.23	0.05	0.15	0.52	0.74	0.34
FBgn0010488	0.02	0.77	0.00	0.97	-0.02	0.74	0.01	0.90	0.89	0.99	0.84	0.99
FBgn0031176	0.42	0.00	0.28	0.02	-0.14	0.19	0.70	0.00	0.00	0.22	0.35	0.02
FBgn0004838	-0.01	0.90	0.10	0.26	0.11	0.15	0.09	0.54	0.95	0.62	0.29	0.92
FBgn0014002	0.06	0.36	0.10	0.14	0.05	0.43	0.16	0.17	0.59	0.49	0.60	0.63
FBgn0026415	0.21	0.00	0.16	0.03	-0.06	0.38	0.37	0.00	0.01	0.26	0.55	0.04
FBgn0027580	0.34	0.00	0.28	0.00	-0.06	0.34	0.63	0.00	0.00	0.01	0.52	0.00
FBgn0043783	0.44	0.01	0.21	0.26	-0.23	0.15	0.65	0.04	0.05	0.62	0.30	0.29
FBgn0263598	-0.09	0.05	-0.03	0.63	0.07	0.16	-0.12	0.19	0.20	0.85	0.31	0.65
FBgn0016691	-0.36	0.00	-0.28	0.00	0.08	0.29	-0.64	0.00	0.00	0.06	0.46	0.00
FBgn0029990	0.06	0.73	0.20	0.33	0.14	0.43	0.26	0.44	0.87	0.67	0.60	0.87
FBgn0031285	-0.02	0.62	0.04	0.44	0.06	0.16	0.02	0.84	0.79	0.75	0.31	0.98
FBgn0261606	0.11	0.09	0.07	0.32	-0.03	0.59	0.18	0.14	0.28	0.67	0.73	0.58
FBgn0013325	0.12	0.06	0.10	0.17	-0.02	0.76	0.22	0.07	0.22	0.53	0.86	0.41
FBgn0051523	0.06	0.30	0.01	0.87	-0.05	0.39	0.07	0.52	0.54	0.95	0.57	0.91
FBgn0010226	-0.28	0.00	-0.03	0.66	0.25	0.00	-0.32	0.01	0.00	0.87	0.00	0.12
FBgn0038922	-0.30	0.00	-0.22	0.00	0.08	0.17	-0.53	0.00	0.00	0.03	0.33	0.00
FBgn0261551	0.01	0.90	-0.06	0.36	-0.06	0.24	-0.05	0.63	0.95	0.70	0.41	0.94
FBgn0000406	0.01	0.90	0.18	0.14	0.17	0.11	0.19	0.35	0.95	0.50	0.25	0.82
FBgn0032400	-0.10	0.33	0.07	0.52	0.17	0.08	-0.02	0.90	0.57	0.80	0.20	0.99
FBgn0011272	0.04	0.50	0.07	0.32	0.03	0.63	0.10	0.34	0.71	0.67	0.77	0.81
FBgn0037135	0.06	0.20	-0.03	0.62	-0.09	0.07	0.04	0.71	0.44	0.85	0.17	0.96
FBgn0015584	-0.15	0.07	-0.18	0.07	-0.03	0.74	-0.34	0.04	0.24	0.36	0.85	0.29
FBgn0000114	0.03	0.53	-0.06	0.33	-0.10	0.08	-0.03	0.79	0.73	0.67	0.19	0.97
FBgn0012034	0.40	0.00	0.13	0.22	-0.27	0.01	0.53	0.00	0.00	0.59	0.03	0.06
FBgn0052672	-0.05	0.37	-0.04	0.54	0.01	0.85	-0.09	0.40	0.60	0.81	0.91	0.85
FBgn0000667	-0.56	0.00	-0.31	0.00	0.25	0.00	-0.87	0.00	0.00	0.03	0.01	0.00
FBgn0033699	0.12	0.06	0.05	0.51	-0.07	0.25	0.17	0.16	0.21	0.79	0.42	0.62
FBgn0003861	-0.26	0.00	0.11	0.15	0.37	0.00	-0.14	0.27	0.00	0.51	0.00	0.74
FBgn0031771	-0.13	0.02	-0.10	0.11	0.03	0.63	-0.23	0.03	0.11	0.45	0.77	0.24
FBgn0052311	-0.34	0.00	-0.11	0.22	0.23	0.00	-0.45	0.00	0.00	0.59	0.02	0.04
FBgn0003071	-0.24	0.00	-0.26	0.00	-0.02	0.77	-0.50	0.00	0.00	0.00	0.87	0.00
FBgn0034295	0.29	0.21	0.57	0.03	0.28	0.20	0.86	0.05	0.45	0.25	0.37	0.35
FBgn0015288	0.07	0.27	0.10	0.16	0.03	0.60	0.16	0.15	0.51	0.52	0.74	0.60
FBgn0033912	0.13	0.05	0.11	0.12	-0.01	0.85	0.24	0.05	0.19	0.46	0.91	0.33
FBgn0029897	0.10	0.10	0.07	0.33	-0.03	0.59	0.17	0.15	0.29	0.67	0.74	0.59
FBgn0036262	0.80	0.00	0.68	0.00	-0.12	0.41	1.49	0.00	0.00	0.00	0.58	0.00
FBgn0261014	0.10	0.04	0.03	0.64	-0.07	0.14	0.12	0.18	0.18	0.86	0.28	0.64
FBgn0040773	-0.21	0.00	-0.24	0.00	-0.03	0.56	-0.46	0.00	0.00	0.00	0.71	0.00
FBgn0003462	0.15	0.02	0.15	0.04	0.00	0.99	0.31	0.01	0.10	0.28	1.00	0.14
FBgn0011206	-0.02	0.71	-0.13	0.09	-0.11	0.11	-0.16	0.22	0.86	0.40	0.24	0.69
FBgn0013770	0.13	0.03	0.19	0.00	0.06	0.31	0.33	0.00	0.13	0.10	0.48	0.07
FBgn0260794	-0.02	0.80	0.02	0.82	0.04	0.60	0.00	1.00	0.90	0.93	0.75	1.00
FBgn0050008	0.56	0.00	0.54	0.00	-0.02	0.80	1.10	0.00	0.00	0.00	0.88	0.00
FBgn0260634	-0.02	0.76	-0.06	0.45	-0.04	0.56	-0.08	0.54	0.89	0.75	0.72	0.92
FBgn0004867	0.15	0.03	0.10	0.22	-0.05	0.44	0.25	0.06	0.14	0.59	0.61	0.38
FBgn0031859	0.08	0.20	-0.13	0.06	-0.21	0.00	-0.06	0.63	0.44	0.34	0.01	0.94
FBgn0033820	0.02	0.83	-0.10	0.22	-0.12	0.10	-0.09	0.52	0.92	0.58	0.23	0.91
FBgn0032946	-0.30	0.00	-0.16	0.11	0.14	0.12	-0.46	0.01	0.01	0.45	0.25	0.08
FBgn0001098	-0.33	0.00	-0.12	0.16	0.21	0.00	-0.45	0.00	0.00	0.52	0.02	0.03
FBgn0023479	0.13	0.09	0.20	0.02	0.07	0.35	0.33	0.02	0.28	0.22	0.53	0.22
FBgn0035497	0.08	0.21	-0.15	0.03	-0.23	0.00	-0.07	0.54	0.44	0.27	0.00	0.91
FBgn0250788	-0.11	0.07	0.01	0.88	0.12	0.04	-0.10	0.39	0.23	0.95	0.12	0.84
FBgn0041102	0.08	0.23	-0.10	0.20	-0.19	0.01	-0.02	0.89	0.46	0.57	0.04	0.99
FBgn0039104	0.12	0.08	-0.12	0.11	-0.24	0.00	0.00	0.98	0.25	0.45	0.00	1.00
FBgn0010412	0.02	0.74	0.07	0.33	0.05	0.43	0.09	0.45	0.87	0.68	0.60	0.87
FBgn0032833	-0.12	0.12	-0.19	0.03	-0.08	0.32	-0.31	0.03	0.33	0.25	0.50	0.27
FBgn0027556	-0.11	0.10	-0.07	0.40	0.05	0.50	-0.18	0.17	0.29	0.73	0.66	0.63
FBgn0025286	0.05	0.42	0.08	0.27	0.03	0.64	0.13	0.27	0.64	0.62	0.77	0.75
FBgn0038834	0.04	0.47	0.01	0.87	-0.03	0.60	0.05	0.63	0.69	0.95	0.74	0.94
FBgn0040793	-0.20	0.00	-0.22	0.00	-0.02	0.80	-0.42	0.00	0.01	0.05	0.88	0.01
FBgn0037351	0.08	0.18	0.09	0.18	0.01	0.83	0.16	0.13	0.40	0.54	0.91	0.55
FBgn0035978	0.06	0.53	-0.19	0.09	-0.25	0.01	-0.13	0.49	0.73	0.41	0.05	0.89
FBgn0039737	0.11	0.07	0.00	0.99	-0.11	0.08	0.11	0.34	0.24	0.99	0.18	0.82
FBgn0029785	0.10	0.12	0.11	0.13	0.01	0.84	0.21	0.08	0.32	0.47	0.91	0.44
FBgn0039342	0.13	0.32	-0.02	0.92	-0.15	0.26	0.12	0.64	0.55	0.97	0.44	0.94
FBgn0038984	0.04	0.43	0.07	0.20	0.03	0.49	0.11	0.24	0.65	0.56	0.66	0.71
FBgn0039800	0.02	0.77	0.08	0.26	0.06	0.31	0.10	0.41	0.89	0.62	0.49	0.85
FBgn0035197	0.04	0.56	-0.10	0.14	-0.14	0.02	-0.07	0.57	0.75	0.50	0.08	0.92
FBgn0035348	0.11	0.22	0.00	0.97	-0.11	0.20	0.10	0.53	0.45	0.99	0.36	0.91
FBgn0034138	0.00	0.99	0.12	0.09	0.12	0.05	0.13	0.31	0.99	0.41	0.14	0.78
FBgn0051363	0.02	0.75	-0.12	0.11	-0.14	0.03	-0.10	0.43	0.88	0.45	0.10	0.86
FBgn0250823	0.09	0.13	-0.08	0.25	-0.17	0.00	0.01	0.92	0.34	0.61	0.02	0.99
FBgn0003231	0.22	0.00	0.20	0.00	-0.02	0.66	0.43	0.00	0.00	0.04	0.79	0.00
FBgn0004432	0.20	0.01	0.04	0.60	-0.15	0.03	0.24	0.08	0.05	0.84	0.10	0.43
FBgn0034743	0.14	0.02	0.11	0.13	-0.03	0.56	0.25	0.03	0.11	0.47	0.72	0.27
FBgn0038033	0.56	0.00	-0.07	0.54	-0.64	0.00	0.49	0.02	0.00	0.81	0.00	0.17
FBgn0015777	-0.08	0.11	-0.09	0.11	-0.01	0.81	-0.17	0.07	0.30	0.45	0.89	0.40
FBgn0011725	0.08	0.12	-0.15	0.01	-0.23	0.00	-0.08	0.42	0.33	0.13	0.00	0.86
FBgn0002719	0.36	0.00	0.12	0.08	-0.24	0.00	0.48	0.00	0.00	0.39	0.00	0.00
FBgn0039682	0.19	0.10	0.24	0.06	0.06	0.62	0.43	0.05	0.29	0.35	0.76	0.33
FBgn0035422	0.05	0.47	0.11	0.17	0.06	0.39	0.15	0.23	0.69	0.53	0.57	0.70
FBgn0260228	-0.40	0.00	-0.15	0.25	0.25	0.03	-0.56	0.01	0.01	0.61	0.10	0.13
FBgn0040732	0.22	0.02	0.23	0.03	0.01	0.92	0.45	0.01	0.10	0.26	0.96	0.14
FBgn0015756	0.06	0.29	0.07	0.32	0.01	0.93	0.13	0.25	0.53	0.67	0.96	0.72
FBgn0039358	-0.24	0.00	-0.24	0.00	0.00	1.00	-0.48	0.00	0.00	0.01	1.00	0.00
FBgn0051198	-0.27	0.00	0.00	0.98	0.27	0.00	-0.27	0.13	0.04	0.99	0.02	0.55
FBgn0000319	-0.02	0.77	0.05	0.42	0.07	0.22	0.03	0.74	0.89	0.74	0.39	0.96
FBgn0010411	0.12	0.06	0.09	0.22	-0.03	0.64	0.21	0.08	0.22	0.58	0.78	0.44
FBgn0261597	0.05	0.43	0.06	0.42	0.01	0.89	0.11	0.37	0.65	0.74	0.94	0.83
FBgn0001092	-0.09	0.20	-0.19	0.03	-0.09	0.21	-0.28	0.05	0.43	0.25	0.38	0.32
FBgn0037763	0.44	0.00	0.14	0.08	-0.30	0.00	0.57	0.00	0.00	0.39	0.00	0.00
FBgn0261451	-0.22	0.01	0.00	1.00	0.22	0.01	-0.22	0.20	0.09	1.00	0.06	0.67
FBgn0016119	-0.24	0.00	-0.26	0.00	-0.02	0.76	-0.50	0.00	0.00	0.03	0.86	0.00
FBgn0037146	0.25	0.00	0.18	0.01	-0.06	0.32	0.43	0.00	0.00	0.17	0.49	0.01
FBgn0250789	0.03	0.57	0.05	0.48	0.01	0.80	0.08	0.47	0.76	0.77	0.88	0.88
FBgn0004167	0.04	0.66	0.12	0.30	0.08	0.44	0.17	0.39	0.82	0.65	0.61	0.85
FBgn0003034	-0.15	0.10	-0.07	0.49	0.08	0.39	-0.23	0.20	0.29	0.78	0.57	0.67
FBgn0022959	-0.09	0.10	-0.03	0.65	0.06	0.26	-0.12	0.26	0.29	0.86	0.43	0.73
FBgn0050011	0.06	0.47	0.13	0.16	0.07	0.38	0.19	0.22	0.69	0.52	0.55	0.69
FBgn0001297	-0.11	0.12	0.07	0.38	0.17	0.01	-0.04	0.77	0.32	0.71	0.04	0.97
FBgn0019936	0.05	0.50	0.05	0.53	0.00	0.96	0.09	0.47	0.71	0.80	0.98	0.88
FBgn0039359	0.07	0.29	0.08	0.29	0.01	0.87	0.14	0.24	0.53	0.65	0.93	0.71
FBgn0050015	0.09	0.08	-0.06	0.32	-0.15	0.00	0.03	0.76	0.26	0.67	0.02	0.96
dsim_PG00072	0.15	0.02	-0.14	0.06	-0.29	0.00	0.01	0.95	0.12	0.35	0.00	0.99
FBgn0033926	0.39	0.00	0.80	0.00	0.41	0.00	1.19	0.00	0.02	0.00	0.01	0.00
FBgn0038373	0.10	0.10	-0.18	0.01	-0.28	0.00	-0.08	0.46	0.29	0.13	0.00	0.88
FBgn0010263	-0.20	0.00	0.00	0.95	0.19	0.00	-0.20	0.12	0.03	0.98	0.02	0.53
FBgn0005585	-0.19	0.01	0.08	0.32	0.26	0.00	-0.11	0.39	0.04	0.67	0.00	0.85
FBgn0005533	0.01	0.93	0.06	0.36	0.06	0.33	0.07	0.55	0.97	0.70	0.51	0.92
FBgn0010265	0.12	0.06	0.04	0.52	-0.07	0.24	0.16	0.17	0.21	0.80	0.41	0.62
FBgn0000313	-0.28	0.00	-0.07	0.31	0.22	0.00	-0.35	0.00	0.00	0.66	0.00	0.02
FBgn0017579	0.09	0.15	0.05	0.48	-0.04	0.54	0.15	0.24	0.37	0.77	0.69	0.71
FBgn0034474	-0.16	0.03	-0.21	0.01	-0.06	0.43	-0.37	0.01	0.13	0.14	0.60	0.09
FBgn0002865	0.08	0.24	-0.13	0.11	-0.22	0.00	-0.05	0.71	0.48	0.44	0.02	0.96
FBgn0031830	-0.29	0.00	-0.27	0.00	0.02	0.77	-0.56	0.00	0.00	0.02	0.87	0.00
FBgn0026563	0.11	0.10	-0.11	0.16	-0.23	0.00	0.00	0.99	0.29	0.51	0.01	1.00
FBgn0000308	-0.02	0.66	0.05	0.43	0.08	0.17	0.03	0.80	0.82	0.74	0.33	0.97
FBgn0020235	-0.44	0.00	-0.36	0.00	0.07	0.47	-0.80	0.00	0.00	0.04	0.64	0.00
FBgn0036825	0.09	0.14	0.18	0.01	0.09	0.16	0.27	0.02	0.35	0.16	0.31	0.21
FBgn0012036	0.24	0.00	0.11	0.17	-0.13	0.06	0.34	0.01	0.01	0.53	0.16	0.11
FBgn0011225	0.06	0.21	-0.07	0.18	-0.13	0.01	-0.01	0.88	0.45	0.54	0.03	0.99
FBgn0020238	0.05	0.34	0.01	0.84	-0.04	0.46	0.06	0.54	0.58	0.94	0.63	0.91
FBgn0086472	0.02	0.70	0.12	0.09	0.09	0.11	0.14	0.22	0.84	0.40	0.24	0.68
FBgn0010408	0.16	0.02	0.15	0.06	-0.01	0.87	0.30	0.02	0.12	0.35	0.93	0.20
FBgn0039635	-0.22	0.00	-0.27	0.00	-0.04	0.43	-0.49	0.00	0.00	0.00	0.60	0.00
FBgn0042189	0.08	0.26	-0.10	0.25	-0.18	0.01	-0.01	0.92	0.50	0.61	0.06	0.99
FBgn0261822	0.06	0.40	0.03	0.72	-0.03	0.66	0.09	0.51	0.63	0.89	0.79	0.90
FBgn0003371	0.07	0.25	0.09	0.22	0.02	0.80	0.16	0.18	0.49	0.59	0.88	0.64
FBgn0014028	0.02	0.71	-0.04	0.57	-0.06	0.31	-0.02	0.88	0.86	0.82	0.48	0.99
FBgn0262738	-0.24	0.01	0.06	0.54	0.30	0.00	-0.18	0.29	0.05	0.81	0.01	0.77
FBgn0005614	-0.10	0.17	-0.13	0.10	-0.04	0.60	-0.23	0.09	0.40	0.43	0.74	0.45
FBgn0261268	0.06	0.26	-0.11	0.08	-0.17	0.00	-0.05	0.65	0.50	0.39	0.01	0.94
FBgn0004242	-0.20	0.04	0.02	0.89	0.21	0.03	-0.18	0.32	0.17	0.96	0.09	0.80
FBgn0010548	0.02	0.74	0.08	0.25	0.06	0.32	0.10	0.38	0.87	0.61	0.49	0.84
FBgn0000557	-0.28	0.00	-0.05	0.53	0.23	0.00	-0.33	0.01	0.00	0.80	0.00	0.10
FBgn0010482	-0.45	0.00	-0.21	0.02	0.24	0.00	-0.66	0.00	0.00	0.23	0.01	0.00
FBgn0032482	0.16	0.00	0.00	0.99	-0.16	0.00	0.17	0.13	0.04	1.00	0.02	0.55
FBgn0028870	0.09	0.13	-0.14	0.04	-0.23	0.00	-0.05	0.65	0.33	0.28	0.00	0.94
FBgn0010078	0.10	0.10	0.13	0.05	0.04	0.53	0.23	0.04	0.30	0.32	0.69	0.31
FBgn0038658	0.14	0.13	0.23	0.02	0.10	0.28	0.37	0.03	0.33	0.23	0.45	0.26
FBgn0010612	-0.19	0.01	-0.26	0.00	-0.08	0.30	-0.45	0.00	0.06	0.05	0.47	0.02
FBgn0053113	-0.11	0.05	-0.25	0.00	-0.14	0.01	-0.36	0.00	0.19	0.00	0.04	0.01
FBgn0261596	0.02	0.80	0.07	0.30	0.06	0.35	0.09	0.45	0.90	0.66	0.53	0.88
FBgn0038598	0.11	0.08	-0.17	0.02	-0.28	0.00	-0.06	0.66	0.26	0.23	0.00	0.94
FBgn0013576	-0.09	0.08	0.09	0.16	0.18	0.00	-0.01	0.96	0.26	0.51	0.01	0.99
FBgn0026620	-0.10	0.14	-0.01	0.89	0.09	0.19	-0.11	0.39	0.35	0.96	0.35	0.85
FBgn0037913	0.22	0.02	-0.08	0.48	-0.30	0.00	0.14	0.45	0.13	0.77	0.02	0.88
FBgn0036213	0.11	0.09	0.10	0.20	-0.02	0.79	0.21	0.10	0.27	0.57	0.88	0.48
FBgn0050035	-0.07	0.29	-0.01	0.86	0.06	0.39	-0.09	0.51	0.53	0.95	0.57	0.90
FBgn0260462	0.23	0.00	0.14	0.02	-0.09	0.06	0.37	0.00	0.00	0.19	0.15	0.00
FBgn0086915	0.16	0.01	-0.15	0.04	-0.32	0.00	0.01	0.93	0.08	0.29	0.00	0.99
FBgn0038248	0.10	0.10	-0.13	0.07	-0.23	0.00	-0.03	0.83	0.29	0.37	0.00	0.98
FBgn0001186	-0.21	0.00	-0.11	0.10	0.11	0.05	-0.32	0.00	0.00	0.42	0.14	0.04
FBgn0002856	-0.08	0.26	-0.12	0.12	-0.05	0.51	-0.20	0.13	0.50	0.47	0.67	0.55
FBgn0028342	-0.48	0.00	-0.34	0.00	0.14	0.06	-0.82	0.00	0.00	0.00	0.15	0.00
FBgn0002579	0.07	0.23	0.12	0.08	0.05	0.43	0.19	0.10	0.47	0.40	0.60	0.48
FBgn0036454	-0.07	0.32	0.01	0.88	0.08	0.24	-0.06	0.67	0.56	0.95	0.41	0.95
FBgn0034121	0.11	0.07	-0.10	0.14	-0.21	0.00	0.01	0.96	0.25	0.50	0.01	0.99
FBgn0261565	-0.20	0.00	-0.06	0.34	0.14	0.01	-0.27	0.01	0.00	0.69	0.05	0.15
FBgn0023197	0.15	0.44	0.48	0.04	0.32	0.09	0.63	0.10	0.67	0.28	0.22	0.48
FBgn0028920	0.44	0.00	0.04	0.80	-0.41	0.00	0.48	0.05	0.01	0.93	0.01	0.32
FBgn0250753	0.03	0.47	-0.09	0.07	-0.13	0.00	-0.06	0.47	0.68	0.36	0.03	0.88
FBgn0033663	0.04	0.55	0.03	0.64	0.00	0.95	0.07	0.56	0.75	0.86	0.97	0.92
FBgn0263231	0.06	0.21	-0.04	0.50	-0.09	0.04	0.02	0.80	0.44	0.78	0.12	0.97
FBgn0036762	-0.34	0.00	-0.26	0.00	0.08	0.27	-0.60	0.00	0.00	0.07	0.44	0.00
FBgn0016120	-0.37	0.00	-0.32	0.00	0.05	0.42	-0.70	0.00	0.00	0.00	0.59	0.00
FBgn0001220	-0.01	0.82	-0.03	0.54	-0.02	0.63	-0.05	0.62	0.91	0.81	0.77	0.94
FBgn0260442	-0.16	0.03	0.09	0.26	0.25	0.00	-0.07	0.63	0.13	0.62	0.00	0.94
FBgn0261593	-0.02	0.73	0.07	0.34	0.09	0.15	0.05	0.69	0.87	0.68	0.29	0.95
FBgn0087013	-0.14	0.01	0.00	0.98	0.14	0.01	-0.15	0.17	0.07	0.99	0.04	0.63
FBgn0082582	-0.25	0.00	-0.12	0.13	0.13	0.05	-0.37	0.00	0.00	0.48	0.13	0.06
FBgn0041180	0.20	0.04	0.21	0.06	0.01	0.92	0.42	0.03	0.17	0.34	0.96	0.23
FBgn0260441	0.00	1.00	0.07	0.34	0.07	0.27	0.07	0.57	1.00	0.68	0.44	0.92
FBgn0051029	0.11	0.12	-0.16	0.04	-0.27	0.00	-0.06	0.65	0.33	0.28	0.00	0.94
FBgn0041094	-0.05	0.50	0.13	0.13	0.17	0.01	0.08	0.57	0.71	0.47	0.06	0.93
FBgn0028480	0.19	0.00	0.14	0.06	-0.05	0.39	0.33	0.01	0.03	0.35	0.57	0.10
FBgn0052425	0.17	0.00	-0.01	0.91	-0.17	0.00	0.16	0.12	0.02	0.96	0.01	0.53
FBgn0011286	-0.34	0.00	-0.06	0.62	0.28	0.00	-0.39	0.04	0.01	0.85	0.02	0.29
FBgn0039471	0.37	0.07	-0.01	0.97	-0.37	0.07	0.36	0.36	0.24	0.99	0.17	0.82
FBgn0039909	-0.15	0.00	-0.14	0.01	0.01	0.89	-0.29	0.00	0.02	0.16	0.94	0.03
FBgn0261260	-0.01	0.91	0.14	0.24	0.15	0.14	0.13	0.52	0.96	0.60	0.28	0.90
FBgn0262160	-0.11	0.15	0.11	0.21	0.21	0.00	0.00	1.00	0.36	0.58	0.02	1.00
FBgn0019828	0.10	0.17	-0.14	0.09	-0.25	0.00	-0.04	0.77	0.39	0.41	0.01	0.96
FBgn0259952	-0.15	0.10	-0.20	0.06	-0.05	0.58	-0.36	0.04	0.30	0.34	0.73	0.32
FBgn0031453	0.17	0.01	0.11	0.16	-0.06	0.35	0.27	0.03	0.07	0.52	0.52	0.25
FBgn0034968	0.09	0.12	0.10	0.12	0.01	0.83	0.20	0.08	0.32	0.46	0.90	0.43
FBgn0263597	0.19	0.07	0.17	0.14	-0.02	0.88	0.36	0.07	0.23	0.50	0.93	0.39
FBgn0047351	0.13	0.05	-0.14	0.07	-0.27	0.00	-0.01	0.95	0.20	0.37	0.00	0.99
FBgn0033296	0.29	0.10	0.22	0.27	-0.07	0.71	0.51	0.13	0.30	0.63	0.83	0.56
FBgn0027835	-0.02	0.78	0.19	0.02	0.21	0.00	0.17	0.19	0.90	0.19	0.01	0.66
FBgn0014869	-0.37	0.00	-0.37	0.00	0.00	0.98	-0.73	0.00	0.00	0.00	0.99	0.00
FBgn0260934	-0.06	0.33	0.02	0.79	0.08	0.20	-0.04	0.73	0.57	0.92	0.36	0.96
FBgn0035776	0.11	0.09	-0.19	0.01	-0.30	0.00	-0.09	0.47	0.27	0.13	0.00	0.88
FBgn0034153	-0.19	0.02	-0.12	0.22	0.07	0.42	-0.31	0.05	0.12	0.58	0.59	0.35
FBgn0021872	-0.08	0.09	0.14	0.01	0.22	0.00	0.05	0.56	0.27	0.18	0.00	0.92
FBgn0003885	0.06	0.37	-0.14	0.06	-0.19	0.00	-0.08	0.50	0.60	0.34	0.02	0.90
FBgn0037547	0.44	0.00	0.38	0.00	-0.05	0.44	0.82	0.00	0.00	0.00	0.61	0.00
FBgn0033297	0.43	0.02	0.08	0.72	-0.35	0.06	0.51	0.16	0.12	0.89	0.15	0.60
FBgn0083956	0.03	0.60	0.11	0.08	0.08	0.13	0.14	0.18	0.78	0.38	0.27	0.64
FBgn0263396	0.07	0.38	0.00	0.98	-0.06	0.40	0.07	0.64	0.62	0.99	0.58	0.94
FBgn0037808	-0.02	0.86	0.13	0.24	0.15	0.13	0.11	0.54	0.94	0.61	0.26	0.92
FBgn0262515	-0.05	0.36	0.00	0.98	0.04	0.37	-0.05	0.62	0.59	0.99	0.55	0.94
FBgn0261243	0.05	0.31	-0.04	0.45	-0.10	0.06	0.01	0.94	0.55	0.76	0.16	0.99
FBgn0028582	-0.03	0.53	-0.03	0.63	0.00	0.95	-0.06	0.54	0.73	0.85	0.97	0.91
FBgn0259971	-0.09	0.31	0.05	0.60	0.14	0.11	-0.04	0.83	0.55	0.84	0.24	0.98
FBgn0028494	-0.18	0.01	0.01	0.91	0.19	0.00	-0.17	0.17	0.05	0.96	0.02	0.63
FBgn0250906	-0.35	0.00	-0.34	0.00	0.01	0.89	-0.69	0.00	0.00	0.04	0.94	0.00
FBgn0031746	0.16	0.01	0.19	0.01	0.03	0.61	0.35	0.00	0.09	0.14	0.75	0.07
FBgn0045823	-0.01	0.81	0.12	0.07	0.14	0.02	0.11	0.33	0.91	0.36	0.07	0.80
FBgn0015776	-0.04	0.46	-0.04	0.52	0.00	1.00	-0.08	0.44	0.68	0.80	1.00	0.87
FBgn0034420	-0.13	0.02	0.03	0.68	0.16	0.01	-0.10	0.35	0.12	0.88	0.03	0.82
FBgn0031574	0.04	0.46	-0.15	0.03	-0.19	0.00	-0.11	0.34	0.68	0.24	0.01	0.81
FBgn0000150	0.09	0.25	-0.03	0.75	-0.13	0.13	0.06	0.68	0.49	0.90	0.27	0.95
FBgn0030087	-0.09	0.13	0.03	0.61	0.12	0.04	-0.05	0.63	0.34	0.85	0.11	0.94
FBgn0262511	-0.06	0.26	-0.06	0.33	0.00	0.99	-0.11	0.24	0.50	0.68	0.99	0.72
FBgn0035047	0.10	0.11	-0.17	0.02	-0.27	0.00	-0.07	0.58	0.31	0.22	0.00	0.93
FBgn0003887	-0.09	0.19	-0.02	0.77	0.07	0.34	-0.11	0.39	0.43	0.91	0.51	0.85
FBgn0260959	0.07	0.21	-0.09	0.15	-0.16	0.00	-0.02	0.84	0.44	0.51	0.02	0.98
FBgn0010387	0.23	0.01	0.06	0.58	-0.17	0.07	0.29	0.11	0.09	0.83	0.17	0.50
FBgn0028513	0.08	0.15	-0.14	0.03	-0.23	0.00	-0.06	0.58	0.36	0.25	0.00	0.93
FBgn0033504	-0.16	0.02	0.09	0.26	0.24	0.00	-0.07	0.58	0.10	0.62	0.00	0.93
FBgn0264086	0.11	0.15	-0.16	0.06	-0.27	0.00	-0.05	0.71	0.36	0.35	0.00	0.96
FBgn0001248	0.18	0.01	-0.01	0.91	-0.19	0.01	0.17	0.22	0.09	0.96	0.04	0.69
FBgn0030608	0.19	0.01	0.02	0.78	-0.17	0.02	0.21	0.13	0.07	0.92	0.08	0.56
FBgn0028737	-0.13	0.03	-0.01	0.94	0.12	0.04	-0.14	0.24	0.14	0.98	0.11	0.71
FBgn0037064	0.11	0.06	-0.06	0.33	-0.17	0.00	0.05	0.68	0.21	0.68	0.02	0.95
FBgn0032456	0.16	0.08	0.15	0.15	-0.01	0.95	0.31	0.08	0.26	0.50	0.97	0.42
FBgn0028490	0.01	0.87	0.05	0.41	0.04	0.42	0.06	0.56	0.94	0.73	0.60	0.92
FBgn0260960	0.09	0.10	0.09	0.17	0.00	0.93	0.18	0.09	0.28	0.53	0.96	0.46
